Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.0040014,N/A,00:00:00.0040014,00:00:00.0040014,00:00:00.0040014,00:00:00.0040014,00:00:00.0040014,00:00:00.0040014,00:00:00.0040008
1.1,00:00:00.0010007,N/A,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007
1.2,00:00:00.0010007,N/A,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007
1.3,00:00:00.0010007,N/A,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007
1.4,00:00:00.0010008,N/A,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008
1.5,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.6,00:00:00.0010004,N/A,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004
1.7,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.8,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.9,00:00:00.0010024,N/A,00:00:00.0010030,00:00:00.0010030,00:00:00.0010030,00:00:00.0010030,00:00:00.0010024,00:00:00.0010030,00:00:00.0010024
1.10,00:00:00.0010016,N/A,00:00:00.0010016,00:00:00.0010016,00:00:00.0010016,00:00:00.0010016,00:00:00.0010016,00:00:00.0010016,00:00:00.0010010
1.11,00:00:00.0010027,N/A,00:00:00.0010039,00:00:00.0010039,00:00:00.0010039,00:00:00.0010039,00:00:00.0010027,00:00:00.0010039,00:00:00.0010021
1.12,00:00:00.0000031,N/A,00:00:00.0000031,00:00:00.0000031,00:00:00.0000031,00:00:00.0000031,00:00:00.0000031,00:00:00.0000031,00:00:00.0000019
1.13,00:00:00.0000055,N/A,00:00:00.0000067,00:00:00.0000067,00:00:00.0000067,00:00:00.0000067,00:00:00.0000055,00:00:00.0000067,00:00:00.0000043
1.14,00:00:00.0000091,N/A,00:00:00.0000097,00:00:00.0000097,00:00:00.0000097,00:00:00.0000097,00:00:00.0000091,00:00:00.0000097,00:00:00.0000073
1.15,00:00:00.0000183,N/A,00:00:00.0000183,00:00:00.0000183,00:00:00.0000183,00:00:00.0000183,00:00:00.0000183,00:00:00.0000183,00:00:00.0000141
1.16,00:00:00.0010070,N/A,00:00:00.0010106,00:00:00.0010106,00:00:00.0010106,00:00:00.0010106,00:00:00.0010070,00:00:00.0010106,00:00:00.0010046
1.17,00:00:00.0010259,N/A,00:00:00.0010259,00:00:00.0010259,00:00:00.0010259,00:00:00.0010259,00:00:00.0010259,00:00:00.0010259,00:00:00.0010121
1.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.19,00:00:00.0010043,N/A,00:00:00.0010043,00:00:00.0010043,00:00:00.0010043,00:00:00.0010043,00:00:00.0010043,00:00:00.0010043,00:00:00.0010031
1.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.21,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.22,00:00:00.0150016,N/A,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016
1.23,00:00:00.0100010,N/A,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010
1.24,00:00:00.0180108,N/A,00:00:00.0180108,00:00:00.0180108,00:00:00.0180108,00:00:00.0180108,00:00:00.0180108,00:00:00.0180108,00:00:00.0180108
1.25,00:00:00.0010009,N/A,00:00:00.0010009,00:00:00.0010009,00:00:00.0010009,00:00:00.0010009,00:00:00.0010009,00:00:00.0010009,00:00:00.0010009
1.26,00:00:00.0010173,N/A,00:00:00.0010161,00:00:00.0010161,00:00:00.0010161,00:00:00.0010161,00:00:00.0010173,00:00:00.0010161,00:00:00.0010149
1.27,00:00:00.0050060,N/A,00:00:00.0050048,00:00:00.0050048,00:00:00.0050048,00:00:00.0050048,00:00:00.0050060,00:00:00.0050048,00:00:00.0050036
1.28,00:00:00.0010034,N/A,00:00:00.0010034,00:00:00.0010034,00:00:00.0010034,00:00:00.0010034,00:00:00.0010034,00:00:00.0010034,00:00:00.0010022
1.29,00:00:00.0010099,N/A,00:00:00.0010111,00:00:00.0010111,00:00:00.0010111,00:00:00.0010111,00:00:00.0010099,00:00:00.0010111,00:00:00.0010093
1.30,00:00:00.0010096,N/A,00:00:00.0010144,00:00:00.0010144,00:00:00.0010144,00:00:00.0010144,00:00:00.0010096,00:00:00.0010144,00:00:00.0010078
1.31,00:00:00.0010056,N/A,00:00:00.0010068,00:00:00.0010068,00:00:00.0010068,00:00:00.0010068,00:00:00.0010056,00:00:00.0010068,00:00:00.0010050
1.32,00:00:00.0010001,00:00:00.0010001,00:00:00.0010001,00:00:00.0010001,00:00:00.0010001,00:00:00.0010001,00:00:00.0010001,00:00:00.0010001,00:00:00.0010001
1.33,00:00:00.0010012,N/A,00:00:00.0010012,00:00:00.0010012,00:00:00.0010012,00:00:00.0010012,00:00:00.0010012,00:00:00.0010012,00:00:00.0010012
1.34,00:00:00.0050009,N/A,00:00:00.0050009,00:00:00.0050009,00:00:00.0050009,00:00:00.0050009,00:00:00.0050009,00:00:00.0050009,00:00:00.0050009
1.35,00:00:00.0050010,N/A,00:00:00.0050010,00:00:00.0050010,00:00:00.0050010,00:00:00.0050010,00:00:00.0050010,00:00:00.0050010,00:00:00.0050010
1.36,00:00:00.0010051,N/A,00:00:00.0010051,00:00:00.0010051,00:00:00.0010051,00:00:00.0010051,00:00:00.0010051,00:00:00.0010051,00:00:00.0010033
1.37,00:00:00.0010023,N/A,00:00:00.0010023,00:00:00.0010023,00:00:00.0010023,00:00:00.0010023,00:00:00.0010023,00:00:00.0010023,00:00:00.0010011
